umidade;temperatura;pressao;vento_ang;vent_veloc;chuva;corrente_fuga;A;B;C;K;Uc
63;31,9;1016;21;2,4;0;0,033567;0,08608373;0,085841506;5,652214469;1,486563703;19476,56936
62;31,9;1016;88;2,4;0;0,033454;0,08608373;0,085696895;5,65390051;1,486708843;19524,23405
63;31,8;1016;59;3,7;0;0,033318;0,08608373;0,085522527;5,655937294;1,486884177;19581,96977
63;31,8;1016;357;2,8;0;0,033435;0,08608373;0,085672556;5,654184562;1,486733296;19532,27574
63;31,8;1016;48;4,7;0;0,033814;0,08608373;0,086156756;5,648548731;1,486248142;19373,33891
63;31,8;1016;88;1,8;0;0,034411;0,08608373;0,086913994;5,63979805;1,485494851;19129,11594
63;31,8;1016;57;3,4;0;0,033436;0,08608373;0,085673838;5,654169608;1,486732008;19531,85229
63;31,8;1016;45;3,6;0;0,033436;0,08608373;0,085673838;5,654169608;1,486732008;19531,85229
62;31,8;1016;55;5,1;0;0,034027;0,08608373;0,086427688;5,645409027;1,485977865;19285,35663
61;31,8;1016;48;2,4;0;0,033512;0,08608373;0,085771151;5,653034398;1,486634285;19499,73438
61;31,8;1016;30;3,4;0;0,033091;0,08608373;0,085230691;5,659355519;1,487178431;19679,24797
61;31,7;1016;61;3,6;0;0,033307;0,08608373;0,085508408;5,656102398;1,48689839;19586,65733
61;31,7;1016;67;4,5;0;0,032674;0,08608373;0,084691966;5,665696363;1,487724275;19860,98005
60;31,7;1016;52;4,5;0;0,032668;0,08608373;0,08468419;5,665788187;1,487732179;19863,62407
60;31,7;1016;70;2,6;0;0,033378;0,08608373;0,085599498;5,65503769;1,486806736;19556,44813
60;31,7;1016;43;4,1;0;0,034333;0,08608373;0,086815434;5,640932695;1,485592526;19160,60843
61;31,8;1016;36;4,7;0;0,0335;0,08608373;0,085755793;5,653213471;1,486649701;19504,79728
59;31,7;1016;41;4,7;0;0,033293;0,08608373;0,085490435;5,656312608;1,486916486;19592,62718
60;31,7;1016;43;2,6;0;0,033609;0,08608373;0,085895193;5,651589246;1,486509881;19458,92374
61;31,6;1016;73;3,4;0;0,033945;0,08608373;0,086323486;5,646615406;1,486081715;19319,11506
60;31,6;1016;51;3,7;0;0,033716;0,08608373;0,086031815;5,649999939;1,486373068;19414,1407
61;31,6;1016;56;3,4;0;0,033493;0,08608373;0,085746833;5,653317959;1,486658695;19507,75208
60;31,6;1016;64;3,6;0;0,033841;0,08608373;0,086191146;5,648149647;1,486213788;19362,1334
60;31,6;1016;61;4,5;0;0,034179;0,08608373;0,08662051;5,64318048;1,485786023;19223,14953
60;31,5;1016;24;3,9;0;0,034109;0,08608373;0,086531764;5,644205551;1,485874265;19251,73817
60;31,6;1016;57;4,9;0;0,034776;0,08608373;0,08737373;5,634522443;1,485040707;18983,36722
60;31,5;1016;45;3,6;0;0,034361;0,08608373;0,086850827;5,64052509;1,485557437;19149,28925
60;31,6;1016;49;4,9;0;0,034816;0,08608373;0,087423965;5,633947664;1,484991228;18967,55501
61;31,6;1016;36;2,8;0;0,033861;0,08608373;0,086216612;5,647854235;1,486188358;19353,84295
60;31,6;1016;62;3,7;0;0,033899;0,08608373;0,086264976;5,647293432;1,486140082;19338,11434
61;31,6;1016;57;3,4;0;0,033772;0,08608373;0,086103232;5,649170162;1,486301637;19390,8004
61;31,5;1016;55;4,9;0;0,033648;0,08608373;0,085945015;5,651009381;1,486459964;19442,57251
61;31,5;1016;55;3,7;0;0,033695;0,08608373;0,086005018;5,650311461;1,486399885;19422,91056
61;31,5;1016;58;3,7;0;0,032597;0,08608373;0,084592114;5,66687606;1,487825827;19894,97531
61;31,5;1016;38;4,7;0;0,032888;0,08608373;0,084968861;5,662432265;1,487443289;19767,22083
61;31,5;1016;43;4,5;0;0,032599;0,08608373;0,084594709;5,666845384;1,487823186;19894,09057
60;31,5;1016;42;3,9;0;0,032898;0,08608373;0,084981778;5,662280257;1,487430203;19762,86528
62;31,5;1016;71;2,6;0;0,034322;0,08608373;0,086801525;5,641092916;1,485606318;19165,0596
61;31,5;1016;50;3,9;0;0,034592;0,08608373;0,087142276;5,637174969;1,485269047;19056,50915
61;31,5;1016;68;3,7;0;0,034532;0,08608373;0,087066669;5,638042975;1,485343768;19080,505
61;31,4;1016;30;5,1;0;0,034669;0,08608373;0,087239209;5,636063232;1,485173344;19025,81941
61;31,4;1016;20;3,9;0;0,0346;0,08608373;0,087152352;5,637059349;1,485259094;19053,31513
61;31,5;1016;342;2,2;0;0,034771;0,08608373;0,087367449;5,634594337;1,485046896;18985,34595
61;31,5;1016;38;4,5;0;0,034801;0,08608373;0,08740513;5,634163129;1,485009776;18973,48092
62;31,6;1016;60;4,1;0;0,03602;0,08608373;0,088922756;5,61694902;1,483527921;18505,82185
61;31,7;1016;38;3,7;0;0,034613;0,08608373;0,087168723;5,636871523;1,485242925;19048,12755
61;31,7;1016;73;4,9;0;0,034382;0,08608373;0,086877363;5,640219604;1,48553114;19140,8103
62;31,7;1016;5;3,7;0;0,034424;0,08608373;0,08693041;5,639609192;1,485478594;19123,87915
61;31,7;1016;48;5,1;0;0,035623;0,08608373;0,088431361;5,622490442;1,484004948;18655,0963
61;31,8;1015;343;1,8;0;0,035127;0,08608373;0,087813562;5,629501157;1,484608456;18845,67499
60;31,8;1015;15;5,9;0;0,034328;0,08608373;0,086809112;5,641005516;1,485598794;19162,63139
61;31,8;1015;51;3,9;0;0,034086;0,08608373;0,086502584;5,644542819;1,485903299;19261,15367
61;31,9;1015;39;4,7;0;0,034057;0,08608373;0,086465779;5,644968394;1,485939934;19273,04101
60;31,9;1015;34;4,3;0;0,034259;0,08608373;0,086721824;5,642011538;1,485685396;19190,60015
60;32;1015;41;2,8;0;0,032652;0,08608373;0,084663449;5,666033135;1,487753265;19870,67888
60;32;1015;54;4,1;0;0,033132;0,08608373;0,085283475;5,658736399;1,487125135;19661,59289
60;32;1015;78;4,7;0;0,03356;0,08608373;0,085832555;5,652318749;1,48657268;19479,514
60;32;1015;42;5,3;0;0,034153;0,08608373;0,086587558;5,643560975;1,485818778;19233,75637
60;32;1015;61;4,5;0;0,033743;0,08608373;0,086066256;5,649599696;1,486338613;19402,879
61;32;1015;37;4,5;0;0,035029;0,08608373;0,087690982;5,630898045;1,484728706;18883,87957
61;32;1015;353;1,6;0;0,034181;0,08608373;0,086623045;5,643151223;1,485783505;19222,3342
60;32;1015;18;3,9;0;0,034099;0,08608373;0,086519078;5,644352161;1,485886886;19255,83052
60;31,9;1015;3;3,9;0;0,034611;0,08608373;0,087166205;5,636900415;1,485245412;19048,92542
61;31,9;1015;56;2,4;0;0,035129;0,08608373;0,087816062;5,62947269;1,484606006;18844,89722
62;32;1015;53;2,8;0;0,035982;0,08608373;0,088875839;5,617476783;1,483573353;18519,98715
63;32,1;1015;343;2,2;0;0,034263;0,08608373;0,086726887;5,641953163;1,485680371;19188,97612
61;32,2;1015;12;3,4;0;0,03466;0,08608373;0,087227885;5,636193048;1,485184519;19029,40046
60;32,2;1015;12;2,6;0;0,034495;0,08608373;0,087020012;5,638578997;1,485389911;19095,3383
60;32,1;1015;22;3,7;0;0,034285;0,08608373;0,086754725;5,64163222;1,485652743;19180,0498
61;32,2;1015;25;2,6;0;0,034341;0,08608373;0,086825548;5,640816202;1,485582497;19157,37276
60;32,3;1015;357;3;0;0,034062;0,08608373;0,086472126;5,644894993;1,485933615;19270,99022
59;32,4;1015;24;2,4;0;0,034029;0,08608373;0,086430227;5,645379639;1,485975335;19284,53501
58;32,3;1015;11;3,4;0;0,033807;0,08608373;0,086147837;5,648652249;1,486257054;19376,24656
59;32,3;1015;73;3,4;0;0,033572;0,08608373;0,085847899;5,652139997;1,486557292;19474,4667
60;32,3;1015;15;3,9;0;0,032889;0,08608373;0,084970152;5,662417062;1,48744198;19766,78518
60;32,4;1015;26;3,7;0;0,032362;0,08608373;0,08428664;5,670493743;1,488137251;19999,58865
60;32,5;1015;8;2,4;0;0,032314;0,08608373;0,084224109;5,671235904;1,488201139;20021,11771
59;32,6;1015;38;2,6;0;0,033024;0,08608373;0,085144363;5,660368905;1,487265667;19708,18026
59;32,8;1015;39;3,7;0;0,033759;0,08608373;0,086086658;5,649362666;1,486318209;19396,21273
58;32,7;1015;44;5,5;0;0,033575;0,08608373;0,085851734;5,652095319;1,486553446;19473,20536
58;32,6;1015;37;4,5;0;0,033723;0,08608373;0,086040745;5,649896141;1,486364133;19411,21951
58;32,5;1015;353;4,5;0;0,033305;0,08608373;0,085505841;5,656132422;1,486900975;19587,5099
59;32,5;1015;65;3,7;0;0,033465;0,08608373;0,085710983;5,653736132;1,486694693;19519,58194
61;32,5;1015;65;3,9;0;0,034252;0,08608373;0,086712964;5,642113711;1,485694192;19193,44299
